DateTime	ResolutionCode	OutAreaCode	OutAreaTypeCode	OutAreaName	OutMapCode	InAreaCode	InAreaTypeCode	InAreaName	InMapCode	FlowValue	UpdateTime
2015-03-01 17:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	10Y1001A1001A63L	BZN	DE-AT-LU BZN	DE_AT_LU	0.00	2017-09-14 04:37:37
2015-03-01 21:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	10Y1001A1001A63L	BZN	DE-AT-LU BZN	DE_AT_LU	0.00	2017-09-14 04:37:37
2015-03-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTA	PL CTA	PL	10Y1001A1001A869	CTA	UA-DobTPP CTA	UA_DobTPP	0.00	2017-09-14 04:37:37
2015-03-01 05:00:00.000	PT60M	10YPL-AREA-----S	CTA	PL CTA	PL	10Y1001A1001A869	CTA	UA-DobTPP CTA	UA_DobTPP	0.00	2017-09-14 04:37:37
2015-03-01 09:00:00.000	PT60M	10YPL-AREA-----S	CTA	PL CTA	PL	10Y1001A1001A869	CTA	UA-DobTPP CTA	UA_DobTPP	0.00	2017-09-14 04:37:37
2015-03-01 13:00:00.000	PT60M	10YPL-AREA-----S	CTA	PL CTA	PL	10Y1001A1001A869	CTA	UA-DobTPP CTA	UA_DobTPP	0.00	2017-09-14 04:37:37
2015-03-01 17:00:00.000	PT60M	10YPL-AREA-----S	CTA	PL CTA	PL	10Y1001A1001A869	CTA	UA-DobTPP CTA	UA_DobTPP	0.00	2017-09-14 04:37:37
2015-03-01 21:00:00.000	PT60M	10YPL-AREA-----S	CTA	PL CTA	PL	10Y1001A1001A869	CTA	UA-DobTPP CTA	UA_DobTPP	0.00	2017-09-14 04:37:37
2015-03-01 01:00:00.000	PT60M	10Y1001A1001A83F	CTY	DE CTY	DE	10YPL-AREA-----S	CTY	PL CTY	PL	1667.67	2017-09-14 04:37:37
2015-03-01 05:00:00.000	PT60M	10Y1001A1001A83F	CTY	DE CTY	DE	10YPL-AREA-----S	CTY	PL CTY	PL	1667.67	2017-09-14 04:37:37
2015-03-01 09:00:00.000	PT60M	10Y1001A1001A83F	CTY	DE CTY	DE	10YPL-AREA-----S	CTY	PL CTY	PL	1667.67	2017-09-14 04:37:37
2015-03-01 13:00:00.000	PT60M	10Y1001A1001A83F	CTY	DE CTY	DE	10YPL-AREA-----S	CTY	PL CTY	PL	1667.67	2017-09-14 04:37:37
2015-03-01 17:00:00.000	PT60M	10Y1001A1001A83F	CTY	DE CTY	DE	10YPL-AREA-----S	CTY	PL CTY	PL	1667.67	2017-09-14 04:37:37
2015-03-01 21:00:00.000	PT60M	10Y1001A1001A83F	CTY	DE CTY	DE	10YPL-AREA-----S	CTY	PL CTY	PL	1667.67	2017-09-14 04:37:37
2015-03-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	10Y1001A1001A83F	CTY	DE CTY	DE	0.00	2017-09-14 04:37:37
2015-03-01 05:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	10Y1001A1001A83F	CTY	DE CTY	DE	0.00	2017-09-14 04:37:37
2015-03-01 09:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	10Y1001A1001A83F	CTY	DE CTY	DE	0.00	2017-09-14 04:37:37
2015-03-01 13:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	10Y1001A1001A83F	CTY	DE CTY	DE	0.00	2017-09-14 04:37:37
2015-03-01 17:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	10Y1001A1001A83F	CTY	DE CTY	DE	0.00	2017-09-14 04:37:37
2015-03-01 21:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	10Y1001A1001A83F	CTY	DE CTY	DE	0.00	2017-09-14 04:37:37
2015-03-01 01:00:00.000	PT60M	10YDK-1--------W	BZN	DK1 BZN	DK1	10YDK-2--------M	BZN	DK2 BZN	DK2	254.98	2017-09-14 04:37:37
2015-03-01 05:00:00.000	PT60M	10YDK-1--------W	BZN	DK1 BZN	DK1	10YDK-2--------M	BZN	DK2 BZN	DK2	477.85	2017-09-14 04:37:37
2015-03-01 09:00:00.000	PT60M	10YDK-1--------W	BZN	DK1 BZN	DK1	10YDK-2--------M	BZN	DK2 BZN	DK2	133.51	2017-09-14 04:37:37
2015-03-01 13:00:00.000	PT60M	10YDK-1--------W	BZN	DK1 BZN	DK1	10YDK-2--------M	BZN	DK2 BZN	DK2	590.13	2017-09-14 04:37:37
2015-03-01 17:00:00.000	PT60M	10YDK-1--------W	BZN	DK1 BZN	DK1	10YDK-2--------M	BZN	DK2 BZN	DK2	144.70	2017-09-14 04:37:37
